SnapshotTime,StartTime,Strategy,Symbol,Strike,Type,Action,EntryPrice,CurrentLTP,PnL,PnL_Percent,Delta
1:30:00 pm,9:31:02 am,Long Straddle,NSE:BANKNIFTY26FEB59400CE,59400,CE,BUY,1077.50,1258.10,5418.00,16.76%,N/A
1:30:00 pm,9:31:20 am,Call Butterfly,NSE:BANKNIFTY26FEB58900CE,58900,CE,BUY,1372.45,1595.60,6694.50,16.26%,N/A
1:30:00 pm,11:45:35 am,Call Butterfly,NSE:NIFTY2620325050CE,25050,CE,BUY,342.85,393.50,3292.25,14.77%,N/A
1:30:00 pm,11:47:06 am,Short Straddle,NSE:BANKNIFTY26FEB59700CE,59700,CE,SELL,1032.45,1070.00,-1126.50,-3.64%,N/A
1:30:00 pm,11:47:06 am,Short Straddle,NSE:BANKNIFTY26FEB59700PE,59700,PE,SELL,775.00,700.20,2244.00,9.65%,N/A
1:30:00 pm,11:47:10 am,Long Straddle,NSE:BANKNIFTY26FEB59700CE,59700,CE,BUY,1032.45,1070.00,1126.50,3.64%,N/A
1:30:00 pm,11:47:13 am,Short Strangle,NSE:BANKNIFTY26FEB59200PE,59200,PE,SELL,591.30,527.15,1924.50,10.85%,N/A
1:30:00 pm,11:47:13 am,Short Strangle,NSE:BANKNIFTY26FEB60200CE,60200,CE,SELL,761.60,782.10,-615.00,-2.69%,N/A
1:30:00 pm,11:47:16 am,Long Strangle,NSE:BANKNIFTY26FEB60200CE,60200,CE,BUY,761.60,782.10,615.00,2.69%,N/A
1:30:00 pm,11:47:20 am,Iron Condor,NSE:BANKNIFTY26FEB59200PE,59200,PE,SELL,591.30,527.15,1924.50,10.85%,N/A
1:30:00 pm,11:47:20 am,Iron Condor,NSE:BANKNIFTY26FEB60200CE,60200,CE,SELL,761.60,782.10,-615.00,-2.69%,N/A
1:30:00 pm,11:47:20 am,Iron Condor,NSE:BANKNIFTY26FEB60700CE,60700,CE,BUY,549.50,562.25,382.50,2.32%,N/A
1:30:00 pm,11:47:25 am,Iron Butterfly,NSE:BANKNIFTY26FEB59700PE,59700,PE,SELL,775.00,700.20,2244.00,9.65%,N/A
1:30:00 pm,11:47:25 am,Iron Butterfly,NSE:BANKNIFTY26FEB59700CE,59700,CE,SELL,1032.45,1070.00,-1126.50,-3.64%,N/A
1:30:00 pm,11:47:25 am,Iron Butterfly,NSE:BANKNIFTY26FEB60200CE,60200,CE,BUY,761.60,782.10,615.00,2.69%,N/A
1:30:00 pm,11:47:28 am,Call Butterfly,NSE:BANKNIFTY26FEB59200CE,59200,CE,BUY,1336.05,1384.20,1444.50,3.60%,N/A
1:30:00 pm,11:47:28 am,Call Butterfly,NSE:BANKNIFTY26FEB59700CE,59700,CE,SELL,1032.45,1070.00,-2253.00,-3.64%,N/A
1:30:00 pm,11:47:28 am,Call Butterfly,NSE:BANKNIFTY26FEB60200CE,60200,CE,BUY,761.60,782.10,615.00,2.69%,N/A
